_____________________________________state_______________________________________
alpha, 
110: [Product: 10, Recipe: E, Step: 3]
111: [Product: 10, Recipe: E, Step: 3]
112: [Product: 10, Recipe: E, Step: 3]
113: [Product: 10, Recipe: E, Step: 3]
114: [Product: 8, Recipe: E, Step: 3]
115: [Product: 8, Recipe: E, Step: 3]
116: [Product: 8, Recipe: E, Step: 3]
117: [Product: 8, Recipe: E, Step: 3]
118: [Product: 8, Recipe: E, Step: 3]
119: [Product: 8, Recipe: E, Step: 3]
120: [Product: 12, Recipe: E, Step: 3]
121: [Product: 12, Recipe: E, Step: 3]
122: [Product: 12, Recipe: E, Step: 3]
123: [Product: 12, Recipe: E, Step: 3]
124: [Product: 12, Recipe: E, Step: 3]
125: [Product: 12, Recipe: E, Step: 3]
126: [Product: 4, Recipe: E, Step: 3]
127: [Product: 4, Recipe: E, Step: 3]
128: [Product: 4, Recipe: E, Step: 3]
129: [Product: 4, Recipe: E, Step: 3]
130: [Product: 4, Recipe: E, Step: 3]
131: [Product: 4, Recipe: E, Step: 3]
132: [Product: 15, Recipe: E, Step: 3]
133: [Product: 15, Recipe: E, Step: 3]
134: [Product: 15, Recipe: E, Step: 3]
135: [Product: 15, Recipe: E, Step: 3]
136: [Product: 15, Recipe: E, Step: 3]
137: [Product: 15, Recipe: E, Step: 3]
138: [Product: 5, Recipe: E, Step: 3]
139: [Product: 5, Recipe: E, Step: 3]
140: [Product: 5, Recipe: E, Step: 3]
141: [Product: 5, Recipe: E, Step: 3]
142: [Product: 5, Recipe: E, Step: 3]
143: [Product: 5, Recipe: E, Step: 3]
144: [switch]
145: [Product: 10, Recipe: A, Step: 5]
146: [Product: 10, Recipe: A, Step: 5]
147: [Product: 10, Recipe: A, Step: 5]
148: [Product: 10, Recipe: A, Step: 5]
149: [Product: 14, Recipe: A, Step: 5]
150: [Product: 14, Recipe: A, Step: 5]
151: [Product: 14, Recipe: A, Step: 5]
152: [Product: 14, Recipe: A, Step: 5]
153: [Product: 9, Recipe: A, Step: 5]
154: [Product: 9, Recipe: A, Step: 5]
155: [Product: 9, Recipe: A, Step: 5]
156: [Product: 9, Recipe: A, Step: 5]
157: [Product: 19, Recipe: A, Step: 5]
158: [Product: 19, Recipe: A, Step: 5]
159: [Product: 19, Recipe: A, Step: 5]
160: [Product: 19, Recipe: A, Step: 5]
161: [Product: 5, Recipe: A, Step: 5]
162: [Product: 5, Recipe: A, Step: 5]
163: [Product: 5, Recipe: A, Step: 5]
164: [Product: 5, Recipe: A, Step: 5]
165: [Product: 15, Recipe: A, Step: 5]
166: [Product: 15, Recipe: A, Step: 5]
167: [Product: 15, Recipe: A, Step: 5]
168: [Product: 15, Recipe: A, Step: 5]
__________________________
beta, 
1: [Product: 7, Recipe: B, Step: 1]
2: [Product: 7, Recipe: B, Step: 1]
3: [Product: 7, Recipe: B, Step: 1]
4: [Product: 11, Recipe: B, Step: 1]
5: [Product: 11, Recipe: B, Step: 1]
6: [Product: 11, Recipe: B, Step: 1]
7: [Product: 8, Recipe: B, Step: 1]
8: [Product: 8, Recipe: B, Step: 1]
9: [Product: 8, Recipe: B, Step: 1]
10: [Product: 19, Recipe: B, Step: 1]
11: [Product: 19, Recipe: B, Step: 1]
12: [Product: 19, Recipe: B, Step: 1]
13: [Product: 6, Recipe: B, Step: 1]
14: [Product: 6, Recipe: B, Step: 1]
15: [Product: 6, Recipe: B, Step: 1]
16: [Product: 16, Recipe: B, Step: 1]
17: [Product: 16, Recipe: B, Step: 1]
18: [Product: 16, Recipe: B, Step: 1]
19: [Product: 1, Recipe: B, Step: 1]
20: [Product: 1, Recipe: B, Step: 1]
21: [Product: 1, Recipe: B, Step: 1]
22: [Product: 3, Recipe: B, Step: 1]
23: [Product: 3, Recipe: B, Step: 1]
24: [Product: 3, Recipe: B, Step: 1]
25: [Product: 10, Recipe: B, Step: 1]
26: [Product: 10, Recipe: B, Step: 1]
27: [Product: 10, Recipe: B, Step: 1]
28: [switch]
29: [Product: 3, Recipe: C, Step: 2]
30: [Product: 3, Recipe: C, Step: 2]
31: [Product: 3, Recipe: C, Step: 2]
32: [Product: 3, Recipe: C, Step: 2]
33: [Product: 3, Recipe: C, Step: 2]
34: [Product: 12, Recipe: C, Step: 2]
35: [Product: 12, Recipe: C, Step: 2]
36: [Product: 12, Recipe: C, Step: 2]
37: [Product: 12, Recipe: C, Step: 2]
38: [Product: 12, Recipe: C, Step: 2]
39: [Product: 18, Recipe: C, Step: 2]
40: [Product: 18, Recipe: C, Step: 2]
41: [Product: 18, Recipe: C, Step: 2]
42: [Product: 18, Recipe: C, Step: 2]
43: [Product: 18, Recipe: C, Step: 2]
44: [Product: 20, Recipe: C, Step: 2]
45: [Product: 20, Recipe: C, Step: 2]
46: [Product: 20, Recipe: C, Step: 2]
47: [Product: 20, Recipe: C, Step: 2]
48: [Product: 20, Recipe: C, Step: 2]
49: [Product: 22, Recipe: C, Step: 2]
50: [Product: 22, Recipe: C, Step: 2]
51: [Product: 22, Recipe: C, Step: 2]
52: [Product: 22, Recipe: C, Step: 2]
53: [Product: 22, Recipe: C, Step: 2]
54: [Product: 1, Recipe: C, Step: 4]
55: [Product: 1, Recipe: C, Step: 4]
56: [Product: 1, Recipe: C, Step: 4]
57: [Product: 1, Recipe: C, Step: 4]
58: [Product: 1, Recipe: C, Step: 4]
59: [Product: 10, Recipe: C, Step: 2]
60: [Product: 10, Recipe: C, Step: 2]
61: [Product: 10, Recipe: C, Step: 2]
62: [Product: 10, Recipe: C, Step: 2]
63: [Product: 10, Recipe: C, Step: 2]
64: [Product: 18, Recipe: C, Step: 4]
65: [Product: 18, Recipe: C, Step: 4]
66: [Product: 18, Recipe: C, Step: 4]
67: [Product: 18, Recipe: C, Step: 4]
68: [Product: 18, Recipe: C, Step: 4]
69: [Product: 2, Recipe: C, Step: 4]
70: [Product: 2, Recipe: C, Step: 4]
71: [Product: 2, Recipe: C, Step: 4]
72: [Product: 2, Recipe: C, Step: 4]
73: [Product: 2, Recipe: C, Step: 4]
74: [Product: 6, Recipe: C, Step: 2]
75: [Product: 6, Recipe: C, Step: 2]
76: [Product: 6, Recipe: C, Step: 2]
77: [Product: 6, Recipe: C, Step: 2]
78: [Product: 6, Recipe: C, Step: 2]
79: [Product: 2, Recipe: C, Step: 5]
80: [Product: 2, Recipe: C, Step: 5]
81: [Product: 2, Recipe: C, Step: 5]
82: [Product: 2, Recipe: C, Step: 5]
83: [Product: 2, Recipe: C, Step: 5]
84: [Product: 11, Recipe: C, Step: 4]
85: [Product: 11, Recipe: C, Step: 4]
86: [Product: 11, Recipe: C, Step: 4]
87: [Product: 11, Recipe: C, Step: 4]
88: [Product: 11, Recipe: C, Step: 4]
89: [Product: 11, Recipe: C, Step: 5]
90: [Product: 11, Recipe: C, Step: 5]
91: [Product: 11, Recipe: C, Step: 5]
92: [Product: 11, Recipe: C, Step: 5]
93: [Product: 11, Recipe: C, Step: 5]
94: [switch]
95: [Product: 21, Recipe: B, Step: 3]
96: [Product: 21, Recipe: B, Step: 3]
97: [Product: 21, Recipe: B, Step: 3]
98: [Product: 13, Recipe: B, Step: 3]
99: [Product: 13, Recipe: B, Step: 3]
100: [Product: 13, Recipe: B, Step: 3]
101: [Product: 7, Recipe: B, Step: 3]
102: [Product: 7, Recipe: B, Step: 3]
103: [Product: 7, Recipe: B, Step: 3]
104: [Product: 19, Recipe: B, Step: 3]
105: [Product: 19, Recipe: B, Step: 3]
106: [Product: 19, Recipe: B, Step: 3]
107: [Product: 17, Recipe: B, Step: 3]
108: [Product: 17, Recipe: B, Step: 3]
109: [Product: 17, Recipe: B, Step: 3]
110: [Product: 7, Recipe: B, Step: 4]
111: [Product: 7, Recipe: B, Step: 4]
112: [Product: 7, Recipe: B, Step: 4]
113: [Product: 14, Recipe: B, Step: 3]
114: [Product: 14, Recipe: B, Step: 3]
115: [Product: 14, Recipe: B, Step: 3]
116: [Product: 20, Recipe: B, Step: 3]
117: [Product: 20, Recipe: B, Step: 3]
118: [Product: 20, Recipe: B, Step: 3]
119: [Product: 20, Recipe: B, Step: 4]
120: [Product: 20, Recipe: B, Step: 4]
121: [Product: 20, Recipe: B, Step: 4]
122: [Product: 16, Recipe: B, Step: 3]
123: [Product: 16, Recipe: B, Step: 3]
124: [Product: 16, Recipe: B, Step: 3]
125: [Product: 16, Recipe: B, Step: 4]
126: [Product: 16, Recipe: B, Step: 4]
127: [Product: 16, Recipe: B, Step: 4]
128: [Product: 19, Recipe: B, Step: 4]
129: [Product: 19, Recipe: B, Step: 4]
130: [Product: 19, Recipe: B, Step: 4]
131: [Product: 9, Recipe: B, Step: 4]
132: [Product: 9, Recipe: B, Step: 4]
133: [Product: 9, Recipe: B, Step: 4]
134: [Product: 12, Recipe: B, Step: 4]
135: [Product: 12, Recipe: B, Step: 4]
136: [Product: 12, Recipe: B, Step: 4]
137: [Product: 8, Recipe: B, Step: 4]
138: [Product: 8, Recipe: B, Step: 4]
139: [Product: 8, Recipe: B, Step: 4]
140: [Product: 10, Recipe: B, Step: 4]
141: [Product: 10, Recipe: B, Step: 4]
142: [Product: 10, Recipe: B, Step: 4]
143: [Product: 15, Recipe: B, Step: 4]
144: [Product: 15, Recipe: B, Step: 4]
145: [Product: 15, Recipe: B, Step: 4]
146: [Product: 5, Recipe: B, Step: 4]
147: [Product: 5, Recipe: B, Step: 4]
148: [Product: 5, Recipe: B, Step: 4]
149: [Product: 3, Recipe: B, Step: 4]
150: [Product: 3, Recipe: B, Step: 4]
151: [Product: 3, Recipe: B, Step: 4]
152: [switch]
153: [Product: 3, Recipe: C, Step: 5]
154: [Product: 3, Recipe: C, Step: 5]
155: [Product: 3, Recipe: C, Step: 5]
156: [Product: 3, Recipe: C, Step: 5]
157: [Product: 3, Recipe: C, Step: 5]
158: [Product: 7, Recipe: C, Step: 5]
159: [Product: 7, Recipe: C, Step: 5]
160: [Product: 7, Recipe: C, Step: 5]
161: [Product: 7, Recipe: C, Step: 5]
162: [Product: 7, Recipe: C, Step: 5]
163: [Product: 20, Recipe: C, Step: 5]
164: [Product: 20, Recipe: C, Step: 5]
165: [Product: 20, Recipe: C, Step: 5]
166: [Product: 20, Recipe: C, Step: 5]
167: [Product: 20, Recipe: C, Step: 5]
__________________________
gamma, 
1: [Product: 4, Recipe: A, Step: 1]
2: [Product: 4, Recipe: A, Step: 1]
3: [Product: 4, Recipe: A, Step: 1]
4: [Product: 4, Recipe: A, Step: 1]
5: [Product: 15, Recipe: A, Step: 1]
6: [Product: 15, Recipe: A, Step: 1]
7: [Product: 15, Recipe: A, Step: 1]
8: [Product: 15, Recipe: A, Step: 1]
9: [Product: 20, Recipe: A, Step: 1]
10: [Product: 20, Recipe: A, Step: 1]
11: [Product: 20, Recipe: A, Step: 1]
12: [Product: 20, Recipe: A, Step: 1]
13: [Product: 21, Recipe: A, Step: 1]
14: [Product: 21, Recipe: A, Step: 1]
15: [Product: 21, Recipe: A, Step: 1]
16: [Product: 21, Recipe: A, Step: 1]
17: [Product: 2, Recipe: A, Step: 1]
18: [Product: 2, Recipe: A, Step: 1]
19: [Product: 2, Recipe: A, Step: 1]
20: [Product: 2, Recipe: A, Step: 1]
21: [Product: 13, Recipe: A, Step: 1]
22: [Product: 13, Recipe: A, Step: 1]
23: [Product: 13, Recipe: A, Step: 1]
24: [Product: 13, Recipe: A, Step: 1]
25: [switch]
26: [Product: 17, Recipe: C, Step: 2]
27: [Product: 17, Recipe: C, Step: 2]
28: [Product: 17, Recipe: C, Step: 2]
29: [Product: 17, Recipe: C, Step: 2]
30: [Product: 17, Recipe: C, Step: 2]
31: [Product: 14, Recipe: C, Step: 2]
32: [Product: 14, Recipe: C, Step: 2]
33: [Product: 14, Recipe: C, Step: 2]
34: [Product: 14, Recipe: C, Step: 2]
35: [Product: 14, Recipe: C, Step: 2]
36: [Product: 1, Recipe: C, Step: 2]
37: [Product: 1, Recipe: C, Step: 2]
38: [Product: 1, Recipe: C, Step: 2]
39: [Product: 1, Recipe: C, Step: 2]
40: [Product: 1, Recipe: C, Step: 2]
41: [Product: 16, Recipe: C, Step: 2]
42: [Product: 16, Recipe: C, Step: 2]
43: [Product: 16, Recipe: C, Step: 2]
44: [Product: 16, Recipe: C, Step: 2]
45: [Product: 16, Recipe: C, Step: 2]
46: [Product: 4, Recipe: C, Step: 2]
47: [Product: 4, Recipe: C, Step: 2]
48: [Product: 4, Recipe: C, Step: 2]
49: [Product: 4, Recipe: C, Step: 2]
50: [Product: 4, Recipe: C, Step: 2]
51: [Product: 21, Recipe: C, Step: 2]
52: [Product: 21, Recipe: C, Step: 2]
53: [Product: 21, Recipe: C, Step: 2]
54: [Product: 21, Recipe: C, Step: 2]
55: [Product: 21, Recipe: C, Step: 2]
56: [Product: 7, Recipe: C, Step: 2]
57: [Product: 7, Recipe: C, Step: 2]
58: [Product: 7, Recipe: C, Step: 2]
59: [Product: 7, Recipe: C, Step: 2]
60: [Product: 7, Recipe: C, Step: 2]
61: [Product: 8, Recipe: C, Step: 2]
62: [Product: 8, Recipe: C, Step: 2]
63: [Product: 8, Recipe: C, Step: 2]
64: [Product: 8, Recipe: C, Step: 2]
65: [Product: 8, Recipe: C, Step: 2]
66: [Product: 9, Recipe: C, Step: 2]
67: [Product: 9, Recipe: C, Step: 2]
68: [Product: 9, Recipe: C, Step: 2]
69: [Product: 9, Recipe: C, Step: 2]
70: [Product: 9, Recipe: C, Step: 2]
71: [Product: 1, Recipe: C, Step: 5]
72: [Product: 1, Recipe: C, Step: 5]
73: [Product: 1, Recipe: C, Step: 5]
74: [Product: 1, Recipe: C, Step: 5]
75: [Product: 1, Recipe: C, Step: 5]
76: [Product: 19, Recipe: C, Step: 2]
77: [Product: 19, Recipe: C, Step: 2]
78: [Product: 19, Recipe: C, Step: 2]
79: [Product: 19, Recipe: C, Step: 2]
80: [Product: 19, Recipe: C, Step: 2]
81: [Product: 18, Recipe: C, Step: 5]
82: [Product: 18, Recipe: C, Step: 5]
83: [Product: 18, Recipe: C, Step: 5]
84: [Product: 18, Recipe: C, Step: 5]
85: [Product: 18, Recipe: C, Step: 5]
86: [Product: 22, Recipe: C, Step: 4]
87: [Product: 22, Recipe: C, Step: 4]
88: [Product: 22, Recipe: C, Step: 4]
89: [Product: 22, Recipe: C, Step: 4]
90: [Product: 22, Recipe: C, Step: 4]
91: [Product: 22, Recipe: C, Step: 5]
92: [Product: 22, Recipe: C, Step: 5]
93: [Product: 22, Recipe: C, Step: 5]
94: [Product: 22, Recipe: C, Step: 5]
95: [Product: 22, Recipe: C, Step: 5]
96: [Product: 6, Recipe: C, Step: 4]
97: [Product: 6, Recipe: C, Step: 4]
98: [Product: 6, Recipe: C, Step: 4]
99: [Product: 6, Recipe: C, Step: 4]
100: [Product: 6, Recipe: C, Step: 4]
101: [Product: 13, Recipe: C, Step: 4]
102: [Product: 13, Recipe: C, Step: 4]
103: [Product: 13, Recipe: C, Step: 4]
104: [Product: 13, Recipe: C, Step: 4]
105: [Product: 13, Recipe: C, Step: 4]
106: [Product: 21, Recipe: C, Step: 4]
107: [Product: 21, Recipe: C, Step: 4]
108: [Product: 21, Recipe: C, Step: 4]
109: [Product: 21, Recipe: C, Step: 4]
110: [Product: 21, Recipe: C, Step: 4]
111: [Product: 17, Recipe: C, Step: 4]
112: [Product: 17, Recipe: C, Step: 4]
113: [Product: 17, Recipe: C, Step: 4]
114: [Product: 17, Recipe: C, Step: 4]
115: [Product: 17, Recipe: C, Step: 4]
116: [Product: 14, Recipe: C, Step: 4]
117: [Product: 14, Recipe: C, Step: 4]
118: [Product: 14, Recipe: C, Step: 4]
119: [Product: 14, Recipe: C, Step: 4]
120: [Product: 14, Recipe: C, Step: 4]
121: [Product: 21, Recipe: C, Step: 5]
122: [Product: 21, Recipe: C, Step: 5]
123: [Product: 21, Recipe: C, Step: 5]
124: [Product: 21, Recipe: C, Step: 5]
125: [Product: 21, Recipe: C, Step: 5]
126: [Product: 6, Recipe: C, Step: 5]
127: [Product: 6, Recipe: C, Step: 5]
128: [Product: 6, Recipe: C, Step: 5]
129: [Product: 6, Recipe: C, Step: 5]
130: [Product: 6, Recipe: C, Step: 5]
131: [Product: 13, Recipe: C, Step: 5]
132: [Product: 13, Recipe: C, Step: 5]
133: [Product: 13, Recipe: C, Step: 5]
134: [Product: 13, Recipe: C, Step: 5]
135: [Product: 13, Recipe: C, Step: 5]
136: [Product: 17, Recipe: C, Step: 5]
137: [Product: 17, Recipe: C, Step: 5]
138: [Product: 17, Recipe: C, Step: 5]
139: [Product: 17, Recipe: C, Step: 5]
140: [Product: 17, Recipe: C, Step: 5]
141: [Product: 16, Recipe: C, Step: 5]
142: [Product: 16, Recipe: C, Step: 5]
143: [Product: 16, Recipe: C, Step: 5]
144: [Product: 16, Recipe: C, Step: 5]
145: [Product: 16, Recipe: C, Step: 5]
146: [Product: 8, Recipe: C, Step: 5]
147: [Product: 8, Recipe: C, Step: 5]
148: [Product: 8, Recipe: C, Step: 5]
149: [Product: 8, Recipe: C, Step: 5]
150: [Product: 8, Recipe: C, Step: 5]
151: [Product: 4, Recipe: C, Step: 4]
152: [Product: 4, Recipe: C, Step: 4]
153: [Product: 4, Recipe: C, Step: 4]
154: [Product: 4, Recipe: C, Step: 4]
155: [Product: 4, Recipe: C, Step: 4]
156: [Product: 12, Recipe: C, Step: 5]
157: [Product: 12, Recipe: C, Step: 5]
158: [Product: 12, Recipe: C, Step: 5]
159: [Product: 12, Recipe: C, Step: 5]
160: [Product: 12, Recipe: C, Step: 5]
161: [Product: 4, Recipe: C, Step: 5]
162: [Product: 4, Recipe: C, Step: 5]
163: [Product: 4, Recipe: C, Step: 5]
164: [Product: 4, Recipe: C, Step: 5]
165: [Product: 4, Recipe: C, Step: 5]
total_cost: 433720
Profit: 446280
